id,name,description,labels,image_links,product_link,price
1,"Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant with Salicylic Acid, Facial Polish for Enlarged Pores, Wrinkles & Fine Lines, Suitable for Blackhead-Prone Skin, Fragrance-Free","Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant is a lightweight, leave-on chemical exfoliant that uses salicylic acid to gently remove dead skin cells and unclog pores. Here's what it does:

Key Benefits:

Minimizes enlarged pores and reduces fine lines
Clears blackheads and blemishes
Evens out skin tone and improves texture
Hydrates while exfoliating (contains green tea and soothing agents)
Fragrance-free, cruelty-free, and suitable for all skin types
How to Use:

Apply after cleansing, 2-3 times per week to start (work up to daily use)
Use on face and neck; avoid lash line
No rinsing needed—follow with moisturizer and SPF during the day
It's a liquid consistency, so a little goes a long way
Customer Feedback: Customers report visible results quickly—many notice smoother, clearer skin with smaller pores within days. Reviews suggest the exfoliant effectively tackles acne and texture issues. However, experiences vary on sensitivity—while some find it gentle even for reactive skin, others report stinging or dryness, so patch testing is recommended.","blackheads,large pores,wrinkles",https://m.media-amazon.com/images/I/61+k-VwGV8L._SX522_.jpg,https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Lines-1-1oz/dp/B07C5SS6YD/ref=sr_1_7?crid=2KY60I3EWSPV8&dib=eyJ2IjoiMSJ9.bVsMGzIMIzcebSlo3W0WG7CDobfiYtdcRe0mjmdEI-_I2AeXUyNckizboJHNcRkHJhIw9vtN3pPjifaCb5RTXXRjHA8FiMB-vxpuTkIfIhaQvughh2odQe3sgK3tvNoYSqq3YXkzO-ltuVpKTn7ypq2nfIl7yIpWTvbuYQ30m8wRHeAe_aox0lmaIna-A0TuFafMioDd5IU54-1nKsJmhHV3wBL9J0iKj2IsLaPWXFvobJPBcv6_LG_O3R1dBOBnwqm6YwHGC0mcsCOVFJ7n5NLpLT-MxFlX_0jRKr73f6k.JAZ7eE7lOIMrUtYqAh33dC4Yd5uWfTyBfU1gPm2xRuY&dib_tag=se&keywords=Whiteheads&qid=1771702130&sprefix=whiteheads%2Caps%2C194&sr=8-7&th=1,$15
2,"Mighty Patch Original Patch from Hero Cosmetics - #1 Hydrocolloid Acne Pimple Patches for Face, Shrinking Zits & Whiteheads in 1 Use, Nighttime Spot Pimple Stickers for Face, 36 Count","The Mighty Patch Original from Hero Cosmetics is the #1 hydrocolloid acne patch designed to shrink the look of pimples overnight without popping.

How It Works:

Medical-grade hydrocolloid absorbs gunk from whiteheads in just 6+ hours
Creates a protective barrier that prevents picking and popping
Works best while you sleep - apply before bed and wake up to clearer skin
Key Features:

Drug-free and gentle: Suitable for sensitive skin, derm-tested
Easy application: Just stick on clean skin, leave for 6+ hours, then peel off
Vegan and cruelty-free: Contains only hydrocolloid as active ingredient
36 patches per pack at $12.99
What Customers Love:

78% report effective overnight results with visible white gunk extraction
Patches stay securely in place all night
Nearly invisible on skin - comfortable for daytime wear
Significantly speeds up healing compared to untreated pimples
Best For: Whiteheads and surface-level pimples. Not recommended for cystic acne or blackheads.","whiteheads,blackheads,cystic acne",https://m.media-amazon.com/images/I/51Kx4Wt+VqL._SX679_.jpg,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=sr_1_8?crid=2KY60I3EWSPV8&dib=eyJ2IjoiMSJ9.bVsMGzIMIzcebSlo3W0WG7CDobfiYtdcRe0mjmdEI-_I2AeXUyNckizboJHNcRkHJhIw9vtN3pPjifaCb5RTXXRjHA8FiMB-vxpuTkIfIhaQvughh2odQe3sgK3tvNoYSqq3YXkzO-ltuVpKTn7ypq2nfIl7yIpWTvbuYQ30m8wRHeAe_aox0lmaIna-A0TuFafMioDd5IU54-1nKsJmhHV3wBL9J0iKj2IsLaPWXFvobJPBcv6_LG_O3R1dBOBnwqm6YwHGC0mcsCOVFJ7n5NLpLT-MxFlX_0jRKr73f6k.JAZ7eE7lOIMrUtYqAh33dC4Yd5uWfTyBfU1gPm2xRuY&dib_tag=se&keywords=Whiteheads&qid=1771702130&rdc=1&sprefix=whiteheads%2Caps%2C194&sr=8-8&th=1,12.99
3,Caudalie Instant Detox Mask Pore Minimizing - Visibly Eliminates Excess Sebum and Visibly Tightens Pores in as Little as 10 Minutes,"The Caudalie Instant Detox Mask is a natural clay mask that works in as little as 10 minutes to cleanse your skin and visibly tighten pores.

Key Features:

Pink clay formula cleanses impurities and excess sebum while tightening pores
Natural caffeine smooths and illuminates skin
Grape extract provides antioxidants and helps prevent blackheads
Clinically tested: 100% saw a detox effect, 95% saw pores tightened, 90% saw luminous skin
All skin types - paraben-free and cruelty-free
Apply twice a week for 10 minutes, then rinse
What customers say: They report the mask effectively clears pores and leaves skin soft and glowing. Customers appreciate the quick application time and pleasant scent. Some find it worth the investment, though a few mention it's on the pricier side.","Blackheads, textured skin, large pores",https://m.media-amazon.com/images/I/61HUz1S8mAL._SX522_.jpg,https://www.amazon.com/Caudalie-Instant-Detox-Clay-Mask/dp/B0CZTXZYKN/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.b2dc4cca-d6d4-4776-92b2-3d88a5464e84%3Aamzn1.sym.b2dc4cca-d6d4-4776-92b2-3d88a5464e84&crid=2KY60I3EWSPV8&cv_ct_cx=Whiteheads&keywords=Whiteheads&pd_rd_i=B0CZTXZYKN&pd_rd_r=5d0d2b93-d81d-4654-9e3e-ea539585cd72&pd_rd_w=eJiTA&pd_rd_wg=NcpfM&pf_rd_p=b2dc4cca-d6d4-4776-92b2-3d88a5464e84&pf_rd_r=FDGC51H06W2404N78AH1&qid=1771702130&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=whiteheads%2Caps%2C194&sr=1-3-38f1b294-ceac-4b0f-b4a4-629ab102646f-spons&aref=Oh48whDsRA&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,42
4,"Bioré Original Blackhead Remover Strips, Deep Cleansing Nose Strips With Instant Pore Unclogging, Features C-Bond Technology, Oil-Free, Non-Comedogenic Use, 14 Count","The Bioré Original Blackhead Remover Strips are deep cleansing nose strips designed to instantly unclog pores and remove blackheads in just 10-15 minutes.

Key Features:

C-Bond Technology: Patented technology that binds to blackheads and impurities, not your skin
Instant Results: Visibly removes dirt, oil, and stubborn blackheads from pores
Weekly Use: Designed for once-a-week application for optimal results
Oil-Free & Non-Comedogenic: Safe for acne-prone, combination, normal, oily, and sensitive skin types
14 Count Pack: Includes 14 individual nose strips
How It Works:

Wet your nose thoroughly after washing your face
Apply strip with smooth side down, pressing for good contact
Let dry 10-15 minutes until stiff like papier-mâché
Slowly peel off from edges toward center
Customer Experience: Customers consistently praise the effectiveness at removing blackheads and find the application process simple and straightforward. The strips work like a ""blackhead magnet"" and many users report seeing visible results immediately after use.","Blackheads, Textured skin, Large pores, Hyperpigmentation",https://m.media-amazon.com/images/I/61eyGuqhgOL._SX679_.jpg,https://www.amazon.com/Bior%C3%A9-Blackhead-Unclogging-Technology-Non-Comedogenic/dp/B0009EILKS/ref=sr_1_9?crid=2KY60I3EWSPV8&dib=eyJ2IjoiMSJ9.bVsMGzIMIzcebSlo3W0WG7CDobfiYtdcRe0mjmdEI-_I2AeXUyNckizboJHNcRkHJhIw9vtN3pPjifaCb5RTXXRjHA8FiMB-vxpuTkIfIhaQvughh2odQe3sgK3tvNoYSqq3YXkzO-ltuVpKTn7ypq2nfIl7yIpWTvbuYQ30m8wRHeAe_aox0lmaIna-A0TuFafMioDd5IU54-1nKsJmhHV3wBL9J0iKj2IsLaPWXFvobJPBcv6_LG_O3R1dBOBnwqm6YwHGC0mcsCOVFJ7n5NLpLT-MxFlX_0jRKr73f6k.JAZ7eE7lOIMrUtYqAh33dC4Yd5uWfTyBfU1gPm2xRuY&dib_tag=se&keywords=Whiteheads&qid=1771702130&sprefix=whiteheads%2Caps%2C194&sr=8-9&th=1,8.18
5,"Kiehl’s Acne-Treating Cleansing Paste, with Salicylic Acid, Multi-Use Product for Cleanser, Spot Treatment, and Face Mask, Non-Drying for All Skin Types, 4.2 Fl. Oz","The Kiehl's Acne-Treating Cleansing Paste is a versatile 3-in-1 skincare product that works as a cleanser, spot treatment, and face mask.

Key Features:

2% Salicylic Acid - medicated ingredient to treat and prevent acne
Charcoal & Kaolin Clay - absorb excess oil and draw out impurities
Bio-Based Cica-Centella & Glycerin - soothe skin and reinforce the barrier to prevent dryness
Non-drying formula suitable for all skin types
4.2 fl oz cream format for easy application
How to Use:

As a cleanser: Apply to wet skin, massage, then rinse
As a spot treatment: Apply directly to blemishes
As a face mask: Apply thick layer, leave on for 5-10 minutes, then rinse
The formula is designed to reduce and prevent acne after just 1 week of use while maintaining skin moisture balance. Made in the United States by Kiehl's Since 1851.","Whiteheads, cystic acne, large pores",https://m.media-amazon.com/images/I/716TAhU4FhL._SX522_.jpg,https://www.amazon.com/Kiehls-Acne-Treating-Cleansing-Salicylic-Non-Drying/dp/B0FGYXV5JC/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.11f03cd7-d882-4fed-ae42-aff13d15d142%3Aamzn1.sym.11f03cd7-d882-4fed-ae42-aff13d15d142&crid=11H3E2ZW9ZKXG&cv_ct_cx=Cystic+acne&keywords=Cystic+acne&pd_rd_i=B0FGYXV5JC&pd_rd_r=1ff5d09e-f66c-444a-bab6-33a5b6ac4e7e&pd_rd_w=MCtUj&pd_rd_wg=tFc1b&pf_rd_p=11f03cd7-d882-4fed-ae42-aff13d15d142&pf_rd_r=YR9PV2ETTEX48PTGAD4Z&qid=1771702268&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=cystic+acne%2Caps%2C268&sr=1-2-6e60e730-e094-43e9-99e8-1a4854cd27ff-spons&aref=iLeME2OCMv&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1,29